,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,SEASON
37,37,Braden Holtby,26,WSH,66,66,48,9,7,141,1802,1661,.922,2.20,3,12.1,3841,42,.636,6,92,12.43,0,1,1,6,2016
38,38,Jimmy Howard,31,DET,37,33,14,14,5,92,979,887,.906,2.80,2,4.8,1974,16,.485,6,110,-8.65,0,1,1,2,2016
39,39,Michael Hutchinson,25,WPG,30,25,9,15,3,75,805,730,.907,2.84,0,4.0,1586,9,.360,3,109,-6.46,0,0,0,0,2016
40,40,Carter Hutton,30,NSH,17,15,7,5,4,38,464,426,.918,2.33,2,2.9,979,7,.467,1,96,1.51,0,1,1,0,2016
42,41,Chad Johnson,29,BUF,45,40,22,16,4,102,1270,1168,.920,2.36,1,8.2,2591,23,.575,3,94,6.13,0,2,2,0,2016
43,42,Martin Jones,26,SJS,65,65,37,23,4,143,1734,1591,.918,2.27,6,10.8,3786,36,.554,9,97,4.64,0,0,0,0,2016
44,43,Jason Kasdorf,23,BUF,1,1,0,1,0,4,30,26,.867,4.00,0,0.0,60,0,.000,0,,,0,0,0,0,2016
45,44,Anton Khudobin,29,ANA,9,7,3,3,0,16,175,159,.909,2.69,1,0.9,356,3,.429,3,,,0,0,0,0,2016
46,45,Keith Kinkaid,26,NJD,23,20,9,9,1,58,605,547,.904,2.81,2,2.8,1240,10,.500,5,113,-6.49,0,0,0,2,2016
47,46,Joonas Korpisalo,21,CBJ,31,30,16,11,4,78,969,891,.920,2.60,0,6.3,1803,16,.533,1,95,4.50,0,0,0,2,2016
48,47,Darcy Kuemper,25,MIN,21,16,6,7,5,43,507,464,.915,2.43,2,3.0,1063,8,.500,2,100,0.17,0,0,0,2,2016
49,48,Eddie Läck,28,CAR,34,31,12,14,6,90,910,820,.901,2.81,2,3.9,1920,14,.452,7,116,-12.52,0,2,2,0,2016
50,49,Robin Lehner,24,BUF,21,21,5,9,5,48,634,586,.924,2.47,1,4.5,1164,13,.619,3,89,5.98,0,1,1,8,2016
51,50,Kari Lehtonen,32,DAL,43,39,25,10,2,105,1121,1016,.906,2.76,2,5.5,2279,20,.513,5,110,-9.56,0,3,3,2,2016
52,51,Michael Leighton,34,CHI,1,0,0,0,0,1,17,16,.941,1.52,0,0.2,39,0,,0,,,0,0,0,0,2016
53,52,Anders Lindbäck,27,ARI,19,13,5,7,1,47,443,396,.894,3.11,0,1.5,906,5,.385,4,125,-9.28,0,1,1,0,2016
54,53,Charlie Lindgren,22,MTL,1,1,1,0,0,2,28,26,.929,2.00,0,0.2,60,1,1.000,0,,,0,0,0,0,2016
55,54,Henrik Lundqvist,33,NYR,65,64,35,21,7,156,1944,1788,.920,2.48,4,12.6,3772,39,.609,6,94,9.52,0,4,4,4,2016
56,55,Roberto Luongo*,36,FLA,62,60,35,19,6,141,1801,1660,.922,2.35,4,12.1,3602,34,.567,8,92,12.34,0,2,2,4,2016
57,56,Jacob Markström,26,VAN,33,30,13,14,4,84,988,904,.915,2.73,0,5.9,1847,17,.567,4,100,0.12,0,2,2,4,2016
58,57,Steve Mason,27,PHI,54,53,23,19,10,132,1602,1470,.918,2.51,4,10.0,3150,28,.528,5,97,4.40,0,0,0,2,2016
59,58,Curtis McElhinney,32,CBJ,18,12,2,7,3,46,417,371,.890,3.30,0,1.2,835,3,.250,3,130,-10.50,0,1,1,0,2016
60,59,Ryan Miller,35,VAN,51,51,17,24,9,137,1634,1497,.916,2.70,1,9.9,3043,25,.490,2,98,2.12,0,1,1,2,2016
61,60,Al Montoya,30,FLA,25,22,12,7,3,49,608,559,.919,2.18,0,3.9,1351,14,.636,3,95,2.77,0,0,0,2,2016
63,61,Petr Mrázek,23,DET,54,49,27,16,6,115,1448,1333,.921,2.33,4,9.5,2961,31,.633,5,93,8.29,0,2,2,2,2016
64,62,Matt Murray,21,PIT,13,13,9,2,1,25,355,330,.930,2.00,1,2.7,749,10,.769,0,83,5.23,0,0,0,0,2016
65,63,Michal Neuvirth,27,PHI,32,29,18,8,4,69,908,839,.924,2.27,3,6.4,1825,17,.586,3,89,8.31,0,1,1,2,2016
66,64,Antti Niemi,32,DAL,48,43,25,13,7,118,1246,1128,.905,2.67,3,5.9,2654,19,.442,8,111,-11.91,0,2,2,2,2016
67,65,Anders Nilsson,25,TOT,29,24,10,13,2,78,789,711,.901,3.12,0,3.4,1500,11,.458,5,116,-10.82,0,1,1,4,2016
70,66,Matt O'Connor,23,OTT,1,1,0,1,0,3,34,31,.912,3.10,0,0.2,58,0,.000,0,,,0,0,0,0,2016
71,67,Joni Ortio,24,CGY,22,19,7,9,5,55,564,509,.902,2.76,1,2.5,1196,9,.474,3,115,-6.98,0,0,0,2,2016
72,68,Ondřej Pavelec,28,WPG,33,31,13,13,4,88,918,830,.904,2.78,1,4.3,1899,14,.452,6,113,-9.84,0,0,0,0,2016
73,69,Calvin Pickard,23,COL,20,13,7,6,1,42,539,497,.922,2.56,1,3.6,985,8,.615,1,92,3.89,0,1,1,0,2016
74,70,Carey Price,28,MTL,12,12,10,2,0,24,365,341,.934,2.06,2,3.0,698,8,.667,1,77,7.08,0,0,0,0,2016
75,71,Jonathan Quick,30,LAK,68,68,40,23,5,149,1820,1671,.918,2.22,5,11.5,4034,38,.559,9,96,5.96,0,3,3,10,2016
76,72,Antti Raanta,26,NYR,25,18,11,6,2,43,530,487,.919,2.24,1,3.4,1145,12,.667,4,95,2.13,0,0,0,0,2016
77,73,Karri Rämö,29,CGY,37,37,17,18,1,94,1034,940,.909,2.63,1,5.4,2145,20,.541,4,107,-5.96,0,1,1,0,2016
78,74,Tuukka Rask,28,BOS,64,62,31,22,8,157,1854,1697,.915,2.56,4,11.1,3678,34,.548,10,99,0.85,0,1,1,0,2016
79,75,James Reimer,27,TOT,40,37,17,14,7,88,1128,1040,.922,2.31,3,7.6,2290,22,.595,6,92,8.04,0,0,0,0,2016
82,76,Pekka Rinne,33,NSH,66,66,34,21,10,161,1744,1583,.908,2.48,4,8.8,3895,32,.485,11,108,-12.51,0,2,2,6,2016
83,77,Juuse Saros,20,NSH,1,1,0,1,0,3,23,20,.870,3.10,0,0.0,58,0,.000,0,,,0,0,0,0,2016
84,78,Cory Schneider,29,NJD,58,58,27,25,6,122,1597,1475,.924,2.15,4,11.1,3412,40,.690,7,90,13.97,0,0,0,0,2016
85,79,Ben Scrivens,29,MTL,15,14,5,8,0,42,447,405,.906,3.07,0,2.2,822,4,.286,2,110,-3.94,0,0,0,0,2016
86,80,Mike Smith,33,ARI,32,32,15,13,2,77,921,844,.916,2.64,3,5.6,1753,16,.500,7,98,1.42,0,1,1,2,2016
88,81,Garret Sparks,22,TOR,17,17,6,9,1,49,456,407,.893,3.02,1,1.5,975,6,.353,4,126,-10.18,0,0,0,0,2016
89,82,Alex Stalock,28,SJS,13,9,3,5,2,33,285,252,.884,2.94,0,0.6,674,2,.222,5,,,0,1,1,0,2016
90,83,Cam Talbot,28,EDM,56,53,21,27,5,137,1648,1511,.917,2.55,3,10.1,3223,26,.491,4,98,3.31,0,1,1,0,2016
91,84,Dustin Tokarski,26,MTL,6,4,1,3,0,12,98,86,.878,3.18,0,0.1,226,1,.250,2,,,0,0,0,0,2016
92,85,Niklas Treutle,24,ARI,2,1,0,1,0,5,20,15,.750,6.04,0,-0.3,50,0,.000,1,,,0,0,0,2,2016
93,86,Linus Ullmark,22,BUF,20,20,8,10,2,49,565,516,.913,2.60,0,3.2,1131,12,.600,4,102,-0.89,0,0,0,0,2016
94,87,Semyon Varlamov,27,COL,57,57,27,25,3,148,1714,1566,.914,2.81,2,9.9,3159,25,.439,10,101,-2.07,0,0,0,6,2016
95,88,Andrei Vasilevskiy,21,TBL,24,21,11,10,0,58,646,588,.910,2.76,1,3.5,1259,7,.333,3,105,-3.00,0,0,0,0,2016
96,89,Cam Ward,31,CAR,52,51,23,17,10,122,1343,1221,.909,2.41,1,7.0,3038,23,.451,7,107,-7.65,0,0,0,0,2016
97,90,Scott Wedgewood,23,NJD,4,4,2,1,1,5,116,111,.957,1.25,1,1.3,241,3,.750,0,,,0,0,0,0,2016
98,91,Roman Will,23,COL,1,0,0,0,0,1,3,2,.667,3.25,0,-0.1,18,0,,0,,,0,0,0,0,2016
99,92,Jeff Zatkoff,28,PIT,14,11,4,7,1,34,408,374,.917,2.79,0,2.5,732,7,.636,3,98,0.74,0,0,0,0,2016
0,1,Jake Allen,24,STL,37,32,22,7,4,79,909,830,.913,2.28,4,5.3,2077,17,.531,6,102,-1.41,0,2,2,2,2015
1,2,Frederik Andersen,25,ANA,54,53,35,12,5,123,1436,1313,.914,2.38,3,8.6,3106,32,.604,9,100,-0.43,0,3,3,4,2015
2,3,Craig Anderson,33,OTT,35,35,14,13,8,87,1134,1047,.923,2.49,3,8.0,2093,17,.486,2,90,9.79,0,0,0,4,2015
3,4,Richard Bachman,27,EDM,6,4,3,2,0,15,168,153,.911,2.84,1,0.9,317,3,.750,1,,,0,0,0,0,2015
4,5,Niklas Bäckström,36,MIN,19,14,5,7,3,51,452,401,.887,3.05,0,1.2,1005,2,.143,4,132,-12.42,0,0,0,2,2015
5,6,Jonathan Bernier,26,TOR,58,55,21,28,7,152,1735,1583,.912,2.87,2,10.0,3177,26,.473,11,103,-3.91,0,1,1,0,2015
6,7,Reto Berra,28,COL,19,12,5,4,1,33,403,370,.918,2.65,1,2.6,746,5,.417,2,96,1.40,0,0,0,0,2015
7,8,Ben Bishop,28,TBL,62,59,40,13,5,136,1620,1484,.916,2.32,4,10.0,3519,33,.559,8,98,2.27,0,4,4,4,2015
8,9,Sergei Bobrovsky,26,CBJ,51,49,30,17,3,134,1632,1498,.918,2.68,2,10.4,2994,26,.531,3,96,5.30,0,2,2,4,2015
9,10,Martin Brodeur*,42,STL,7,5,3,3,0,17,169,152,.899,2.87,1,0.7,356,2,.400,2,,,0,0,0,0,2015
10,11,Laurent Brossoit,21,EDM,1,1,0,1,0,2,51,49,.961,2.01,0,0.6,60,1,1.000,0,,,0,0,0,0,2015
11,12,Ilya Bryzgalov,34,ANA,8,6,1,4,1,23,150,127,.847,4.19,0,-0.3,329,2,.333,3,,,0,2,2,0,2015
12,13,Tyler Bunz,22,EDM,1,0,0,0,0,3,12,9,.750,9.00,0,-0.2,20,0,,0,,,0,0,0,0,2015
13,14,Scott Clemmensen,37,NJD,3,1,0,0,1,8,54,46,.852,4.73,0,-0.1,102,0,.000,0,,,0,0,0,0,2015
14,15,Corey Crawford,30,CHI,57,57,32,20,5,126,1661,1535,.924,2.27,2,11.9,3333,38,.667,4,89,15.77,0,1,1,8,2015
15,16,John Curry,30,MIN,2,1,0,0,1,5,25,20,.800,4.18,0,-0.2,72,0,.000,1,,,0,0,0,0,2015
16,17,Scott Darling,26,CHI,14,13,9,4,0,27,419,392,.936,1.95,1,3.6,833,10,.769,0,75,8.76,0,0,0,0,2015
17,18,Louis Domingue,22,ARI,7,4,1,2,1,14,158,144,.911,2.73,0,0.9,308,3,.750,0,,,0,0,0,0,2015
